Abreviation,66,"Ancient authors, in French, with links to French translations:",,
,,,,
,1,AMMIANUS MARCELLINUS (330 - 400 AD),,
"Ammian, Hist",,Histoire de Rome,,
,,http://agoraclass.fltr.ucl.ac.be/concordances/intro.htm#amm ,,
,2,ANONYMOUS (1st or 2nd century BC),,
"Hannon, Peripl",,Périple d’Hannon en Afrique de l’Ouest,,
,,http://www.cosmovisions.com/PeripleHannon.htm ,,
,3,ANONYMOUS (middle of 1st century AD),,
"Anonym,  Mer Erythr",,Periplus Maris Erythraei - Périple en Mer Erythrée (Red Sea),,
,,http://remacle.org/bloodwolf/erudits/anonyme/periple2.htm ,,
,4,ANONYMOUS (around 2nd century AD),,
Stadiasmus,,Stadiasmus Maris Magni,,
,,http://gallica.bnf.fr/ark:/12148/bpt6k28215w.r=.langFR ,,
,5,ANONYMOUS (1st to 3rd century AD),,
"Bible, ""Livre""",,The Bible,,
,,http://www.lds.org/scriptures/bible?lang=eng ,,
,6,"ANONYMOUS (perhaps dated between the 5th and 6th century AD, after Pascal Arnaud, Genoa, 2004)",,
"Antonine, Itin Mar",,Itinerarium Maritimum - Itinéraire Maritime,,
,,http://www.romaeterna.org/antichi/itinerario/index.html ,,
"Antipater, Epigram",7,ANTIPATER of THESSALONICA (1st century BC),,
,,Epitaphs (VII in Greek Anthology),,
,,http://remacle.org/bloodwolf/erudits/Anthologie/index.htm,,
,8,Sidonius APOLLINARIS (430 – 486 AD),,
"Apollinaris, Poésie ",,Poésies,,
,,http://remacle.org/bloodwolf/historiens/sidoine/index.htm ,,
,9,APOLLODORUS of ATHENS (2nd century BC),,
"Apollodorus, Bibliothèque",,Bibliothèque,,
,,http://remacle.org/bloodwolf/erudits/apollodorebiblio/table.htm ,,
,10,APOLLONIUS of RHODES (295 - 215 BC),,
"Apollonius, Argonautica",,Les Argonautiques en Méditerranée en Mer Noire,,
,,http://remacle.org/bloodwolf/poetes/falc/apollonius/vie.htm ,,
,11,APPIAN of ALEXANDRIA (ca. 95 - 165 AD),,
"Appian, Guerres civiles",,Histoire des Guerres Civiles de la République Romaine,,
,,http://remacle.org/bloodwolf/historiens/appien/index.htm ,,
"Appian, ""Ibérique"" etc.",,"Ibérique, Mithridatique, Hannibalique et Libyca",,
,,http://remacle.org/bloodwolf/historiens/appien/index.htm ,,
,12,APULEIUS (ca. 125 - 170 AD),,
"Apuleius, Ane d’Or",,L’âne d’or or les Métamorphoses ,,
,,http://remacle.org/bloodwolf/apulee/table.htm ,,
,13,ARRIAN of NICOMEDIA (86 - ca. 160 AD),,
"Arrian, Alexander",,Expéditions d’Alexandre,,
,,http://remacle.org/bloodwolf/historiens/arrien/un.htm ,,
"Arrian, Peripl",,Périple de la Mer Noire,,
,,http://remacle.org/bloodwolf/historiens/arrien/periple.htm ,,
"Arrian, Indica",,Périple de l'Océan Indien et de la Mer Noire,,
,,http://gallica.bnf.fr/ark:/12148/bpt6k28215w.r=.langFR ,,
,,http://www.fordham.edu/halsall/ancient/arrian-bookVIII-India.asp,,
,14,ATHENAEUS of NAUCRATIS (ca. 200 AD),,
"Athenaeus, Banquet des Savants",,Deipnosophistes or Le Banquet des Savants,,
,,http://remacle.org/bloodwolf/erudits/athenee/index.htm ,,
,15,AUSONIUS (310 - 395 AD),,
"Ausonius, Ordo Urbium",,Ordo Urbium,,
,,http://remacle.org/bloodwolf/historiens/ausone/ordre.htm ,,
,16,AVIENUS (4th century AD),,
"Avienus, Ora Maritima",,Les Régions Maritimes (Ora Maritima),,
,,http://remacle.org/bloodwolf/erudits/avienus/maritimes.htm ,,
,17,CASSIODORUS (485 - 580 AD),,
"Cassiodore, De l’Âme",,De l’Âme,,
,,http://remacle.org/bloodwolf/philosophes/cassiodore/ame.htm ,,
,18,Julius CAESAR (100 - 44 BC),,
"Caesar, Guerre civile",,La Guerre Civile,,
,,http://bcs.fltr.ucl.ac.be/CAES/BCI.html ,,
