NB,LATITUDE,LONGITUDE,NAME,NAME_MOD,AUTH_ANC,AUTH_MOD,COUNTRY,AM,PP,RE,BW,QU,MO,CN,SL,SH,PH,CO
1,63.274770,-14.761314,"Thulé, Baltia ","Iceland ? Pliny and Strabo, who cite Pythéas, place Thulé at 6 navigation days from (Great) Britain, which may be 400-600 nautical miles. Iceland is at 450 miles North of Scotland. The mention of six months long days and nights means a position beyond the Arctic Circle, which corresponds better to Iceland than to the Shetland islands.","Polybius, Hist, 34, 5 ; Pliny, Hist Nat, 2, 77 & 99 & 4, 27",BAtlas locates it in the Shetland islands,Iceland ?,a,,,,,,,,,,
2,53.041485,4.825152,"Mararmano, Manarmani ",Hoge Berg near Den Burg ? On the Isle of Texel in The Netherlands between R Vidro (R Oude Rijn ?) and R Amisius (R Eems),"Marcian, Peripl, 2, 32",Lehmann,Netherlands,a,,,,,,,,,,
3,52.535847,4.723479,,Uitgeest-Groot Dorregeest,,BAtlas,Netherlands,m,,,,,,,,,,
4,52.458867,4.666675,Flevum ,"Velsen, West of Amsterdam",,,Netherlands,m,,,,,,,,,,
5,52.213476,4.393244,"Lugdunum Batavorum, Brittenburg ","submerged offshore Katwijk, near the outlet of R Oude Rijn (R Old Rhine) which was the northern limit of the Roman empire and was navigable over a long distance, with many river ports",,,Netherlands,m,,,,,,,,,,
6,52.059003,4.348620,Forum Hadriani ,"Park Arentsburgh, at Voorburg",,Lendering,Netherlands,m,,,,,,,,,,
7,51.908592,4.034870,Helinio ,submerged offshore of Oostvoorne ?,,Lendering,Netherlands,m,,,,,,,,,,
8,51.842842,3.933839,,“Oude Wereld” submerged offshore Goeree,,Lendering,Netherlands,m,,,,,,,,,,
9,51.612180,3.837282,Ganuenta ,submerged at 1.5 km NW of Colijnsplaat,,Lendering,Netherlands,m,,,,,,,,,,
10,51.604960,3.604765,,“De Roompot” submerged offshore Domburg on the Isle of Walcheren,,Lendering,Netherlands,m,,,,,,,,,,
11,51.274214,3.448188,Rodanum ? ,Aardenburg,,Lendering,Netherlands,m,,,,,,,,,,
12,51.209048,3.444715,,Maldegem,,Lendering,Flanders,m,,,,,,,,,,
13,51.184083,3.003155,Aldenburgensis ,Roman castellum on the sea side at Oudenburg,,BAtlas,Flanders,m,,,,,,,,,,
14,51.100000,0.000001,"Albion, Britannia ",Great Britain,"Pliny, Hist Nat, 4, 30 ; Caesar, Guerre des Gaules, 5, 1 & 2, & 8 to 11",,UK,a,,,,,,,,,,
16,59.074366,-3.196805, Orcades ,"Orcades islands, North Scotland","Antonine, Itin Mar",,UK,a,,,,,,,,,,
17,56.364755,-3.219657,,Carpow ,,BAtlas,UK,m,,,,,,,,,,
18,56.013826,-3.561725,"Velunia, Veluniate ",Carriden House,,BAtlas,UK,m,,,,,,,,,,
19,55.995328,-3.309819,,Cramond ,,BAtlas,UK,m,,,,X,,,,,,
20,55.954342,-3.078588,,Inveresk ,,BAtlas,UK,m,,,,,,,,,,
21,54.987649,-1.532072,Segedunum ,"Wallsend, on R Tyne at the eastern end of Hadrien's wall, near Newcastle",,Cleere,UK,m,,r,,X?,,,,,,
22,55.004810,-1.431636,Arbeia ,South Shields,,BAtlas,UK,m,,,,,,,,,,
23,54.593847,-0.958751,possible lighthouse,Huntcliff ,,"BAtlas, Christiansen",UK,m,,,,,,,,,X?,
24,54.539743,-0.724599,possible lighthouse,Goldsborough ,,"BAtlas, Christiansen",UK,m,,,,,,,,,X?,
25,54.417024,-0.494221,possible lighthouse,Ravenscar ,,"BAtlas, Christiansen",UK,m,,,,,,,,,X?,
26,54.276000,-0.372781,possible lighthouse,Scarborough ,,"BAtlas, Christiansen",UK,m,,,,,,,,,X?,
27,54.203105,-0.264373,"Portus Felix, with possible lighthouse",Filey Brigg,,"Cleere, Christiansen",UK,m,,,,,,,,,X?,
28,54.083127,-0.159821,Gabrantiucorum portuosus sinus ,Bridlington ?,"Ptol, Geogr, 2, 3",,UK,a,,,,,,,,,,
29,53.717785,-0.591028,Petuaria ,Brough,,"Cleere, Dr P. Halkon of Univ. of Hull",UK,m,,r,,X?,,,,,,
29.1,53.704728,-0.690123,,Flaxfleet,,Dr P. Halkon of Univ. of Hull,UK,m,,,,,,,,,,
30,52.993961,0.633440,Branodunum ,Brancaster,,Cleere,UK,m,,,,,,,,,,
31,52.650764,1.739748,,"Caister-on-Sea, North of Great Yarmouth, might have had a Roman port ? ",,Cleere,UK,m,,,,,,,,,,
32,52.582496,1.651465,Gariannonum ,"Burgh Castle, West of Great Yarmouth",,Cleere,UK,m,,,,,,,,,,
33,52.152403,1.617589,,Aldeburgh might have had a Roman port ?,,,UK,m,,,,,,,,,,
34,51.972843,1.386888,,"Walton Castle, North of Felixstowe ",,BAtlas,UK,m,,,,,,,,,,
35,51.867407,0.943043,port of Camulodunum ,"Fingringhoe, near Colchester",,Cleere,UK,m,,,,,,,,,,
36,51.720524,0.707788,,"Heybridge-Maldon, South of Colchester might have had a Roman port ?",,,UK,m,,,,,,,,,,
37,51.728470,0.873512,Othona Portus ,"Bradwell on Sea, South of Colchester",,"CG, Cleere",UK,m,,r,,X?,,,,,,
38,51.507059,-0.085691,Londinium , London river port on the Thames,,Cleere,UK,m,,r,,X?,,,,,,
39,51.403535,0.553763,Durobrivae ,"Rochester, on the R Medway",,Cleere,UK,m,,,,,,,,,,
40,51.380692,1.195164,Regulbium ,"Reculver, West of Margate",,Cleere,UK,m,,,,,,,,,,
41,51.305871,1.353052,"Rutupiae, Ritupium ","Richborough, South of Margate, Kent","Antonine, Itin Mar",Cleere,UK,a,,,,,,,,,,
42,51.128380,1.322939,Portus Dubris and its famous ancient lighthouse ,Dover: port at the outlet of R Dour,,"Cleere, Christiansen",UK,m,,r,,,,,,,X,
43,50.941937,0.754811,Portus Lemanus ,"Castle of Stutfall, on the R Lympne, near Rye",,"CG, Cleere",UK,m,,,,,,,,,,
44,50.807719,0.354522,"Anderidos, Anderitum ",Pevensey,,Cleere,UK,m,,,,,,,,,,
45,50.821313,-0.241879,Novus Portus ,"Portslade, near Brighton","Ptol, Geogr, 2, 3",CG,UK,a,,,,,,,,,,
46,50.829377,-0.816374,port of Noviomagus Regnorum ,"Fishbourne and/or Bosham, near Chichester",,Cleere,UK,m,,,,,,,,,,
47,50.826951,-0.996456,Magnus Portus ,? between Portsmouth and Chicester,"Ptol, Geogr, 2, 3",,UK,a,,,,,,,,,,
48,50.838576,-1.112360,"Portus Adurni, Ardaoni, ",Portchester Castle,,Cleere,UK,m,,,,,,,,,,
49,50.769578,-1.291234,Vecta ,"Cowes, on the isle of Wight","Antonine, Itin Mar",,UK,a,,,,,,,,,,
50,50.912094,-1.375100,Clausentum ,Bitterne,,Cleere,UK,m,,,,,,,,,,
51,50.706044,-1.982020,,"Hamworthy, near Poole",,Cleere,UK,m,,,,,,,,,,
52,50.622379,-2.437267,,"Radipole, near Dorchester",,Cleere,UK,m,,,,,,,,,,
53,50.674872,-3.463765,Isca Dumnoniorum ,"Exeter, with aport at Topsham on the R Exe",,Cleere,UK,m,,,,,,,,,,
54,49.929793,-6.321576, Sicdelis ,"Iles Scilly, West of Cornwall","Antonine, Itin Mar",,UK,a,,,,,,,,,,
55,51.209712,-3.078005,,"Combwich, in front of Cardiff might have had a Roman port ?",,,UK,m,,,,,,,,,,
56,51.480947,-2.649478,Abona ,"Sea Mills, near Bristol",,Cleere,UK,m,,,,,,,,,,
57,51.609870,-2.776530,Venta Silurum ,Caerwent,,Cleere,UK,m,,,,,,,,,,
58,51.444889,-3.129520,Tamion ,near Cardiff ?,,BAtlas,UK,m,,,,,,,,,,
59,51.380965,-3.272925,,Barry ,,BAtlas,UK,m,,,,,,,,,,
60,51.663974,-3.829510,"Nido, Nidum ",Neath,,Cleere,UK,m,,,,,,,,,,
61,51.855046,-4.303504,Moridunum ,Carmarthen,,Cleere,UK,m,,,,,,,,,,
